slang,normalized
keduakali,kedua kali
agak,sedikit
pas,saat
produkx,produknya
sukamkasih,suka makasih
gak,tidak
cpt,cepat
sdh,sudah
recommend,rekomendasi
bagusseller,bagus
bagusssss,bagus
bagussssss,bagus
baguuussss,bagus
cepatmakasih,cepat
cepatmantappp,cepat
cepatproduct,cepat
cepatrecomended,cepat
cepattoko,cepat
recomended,rekomendasi
recommended,rekomendasi
rekomendasi,rekomendasi
rekomended,rekomendasi
mantappp,mantap
wkwk,haha
oke,baik
mantap,mantap
sip,baik
pooolll,penuh
mantep,mantap
thx,terima kasih
thanks,terima kasih
terimakasih,terima kasih
trmksh,terima kasih
mksh,terima kasih
tq,terima kasih
bgt,sekali
bgtt,sekali
msh,masih
udh,sudah
aj,aja
dr,dari
bisaa,bisa
dong,tolong
bro,teman
gan,teman
sis,teman
barangx,barangnya
mantab,mantap
mantabbb,mantap
barangnya,barangnya
bagussss,bagus
baguss,bagus
harga,,harga
produk,produk
toppp,baik
kerenn,keren
wajib,harus
cuy,teman
gw,saya
gua,saya
gue,saya
km,kamu
trs,terus
rapiii,rapi
worth,berharga
worth it,berharga
worth parah,berharga sekali
sepada,sebanding
sepadan,sebanding
ok,baik
nice,baik
cool,baik
fast,cepat
ramah,baik hati
recommended,rekomendasi
gbr,gambar
buagus,bagus